time[s],SAS[V],FWM[V]
-1.1263020826299999,-0.000955151,0.0190673
-1.1256510409629998,-0.000967714,0.019193
-1.124999999296,-0.0010054,0.0193186
-1.124348957629,-0.000980276,0.0193186
-1.123697915962,-0.000942588,0.0195698
-1.123046874295,-0.000980276,0.0195698
-1.122395832628,-0.00101796,0.0196955
-1.1217447909609999,-0.000955151,0.0198211
-1.1210937492939999,-0.000992839,0.0198211
-1.1204427076269998,-0.000955151,0.0200724
-1.11979166596,-0.000967714,0.0200724
-1.119140624293,-0.00104309,0.020198
-1.118489582626,-0.0010054,0.020198
-1.117838540959,-0.000992839,0.0203236
-1.117187499292,-0.000955151,0.0204492
-1.1165364576249999,-0.000992839,0.0204492
-1.1158854159579998,-0.000980276,0.0204492
-1.115234374291,-0.00101796,0.0207005
-1.114583332624,-0.000967714,0.0207005
-1.113932290957,-0.00103053,0.0208261
-1.11328124929,-0.000992839,0.0208261
-1.112630207623,-0.00101796,0.0209518
-1.1119791659559999,-0.00101796,0.0210774
-1.1113281242889999,-0.0010054,0.021203
-1.1106770826219998,-0.000980276,0.021203
-1.110026040955,-0.00106822,0.0213286
-1.109374999288,-0.000980276,0.0214543
-1.108723957621,-0.00101796,0.0215799
-1.108072915954,-0.00104309,0.0215799
-1.107421874287,-0.0010054,0.0217055
-1.1067708326199999,-0.00101796,0.0217055
-1.1061197909529998,-0.000992839,0.0218312
-1.105468749286,-0.00101796,0.0219568
-1.104817707619,-0.0010054,0.0219568
-1.104166665952,-0.000992839,0.022208
-1.103515624285,-0.00105565,0.0223337
-1.102864582618,-0.00101796,0.0223337
-1.1022135409509999,-0.00101796,0.0224593
-1.1015624992839999,-0.00104309,0.0225849
-1.1009114576169998,-0.00101796,0.0227106
-1.10026041595,-0.0010054,0.0227106
-1.099609374283,-0.00103053,0.0228362
-1.098958332616,-0.000967714,0.0229618
-1.098307290949,-0.0010054,0.0229618
-1.097656249282,-0.00101796,0.0230874
-1.0970052076149999,-0.00101796,0.0230874
-1.0963541659479998,-0.000967714,0.0233387
-1.095703124281,-0.000992839,0.0233387
-1.095052082614,-0.0010054,0.0234643
-1.094401040947,-0.000992839,0.02359
-1.09374999928,-0.00103053,0.0237156
-1.093098957613,-0.00103053,0.0237156
-1.0924479159459999,-0.000955151,0.0238412
-1.0917968742789999,-0.00101796,0.0239668
-1.0911458326119998,-0.00104309,0.0240925
-1.090494790945,-0.000992839,0.0242181
-1.089843749278,-0.000980276,0.0242181
-1.089192707611,-0.000980276,0.0242181
-1.088541665944,-0.00103053,0.0244693
-1.087890624277,-0.000967714,0.0244693
-1.0872395826099999,-0.000992839,0.0247206
-1.0865885409429998,-0.0010054,0.0247206
-1.085937499276,-0.000980276,0.0248462
-1.085286457609,-0.000980276,0.0248462
-1.084635415942,-0.000992839,0.0249719
-1.083984374275,-0.000992839,0.0250975
-1.083333332608,-0.000992839,0.0252231
-1.0826822909409999,-0.000980276,0.0253487
-1.0820312492739999,-0.000992839,0.0253487
-1.0813802076069998,-0.000992839,0.0254744
-1.08072916594,-0.000980276,0.0256
-1.080078124273,-0.000980276,0.0257256
-1.079427082606,-0.000917462,0.0258513
-1.078776040939,-0.000992839,0.0258513
-1.078124999272,-0.000980276,0.0259769
-1.0774739576049999,-0.000955151,0.0259769
-1.0768229159379998,-0.00101796,0.0261025
-1.076171874271,-0.000992839,0.0262281
-1.075520832604,-0.00101796,0.0262281
-1.074869790937,-0.000980276,0.0263538
-1.07421874927,-0.0010054,0.026605
-1.073567707603,-0.000967714,0.026605
-1.0729166659359999,-0.0010054,0.0267307
-1.0722656242689999,-0.0010054,0.0268563
-1.0716145826019998,-0.000980276,0.0268563
-1.070963540935,-0.0010054,0.0271075
-1.070312499268,-0.000992839,0.0271075
-1.069661457601,-0.000980276,0.0272332
-1.069010415934,-0.000992839,0.0273588
-1.068359374267,-0.00103053,0.0274844
-1.0677083325999999,-0.000980276,0.0274844
-1.0670572909329998,-0.0010054,0.0276101
-1.066406249266,-0.0010054,0.0277357
-1.065755207599,-0.00101796,0.0277357
